"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"104","Psychology",201801,"College of Arts & Sciences",79,0.49,49.0886075949367,3878
"105","Psychology",201802,"College of Arts & Sciences",82,0.49,51,4182
"106","Psychology",201803,"College of Arts & Sciences",84,0.49,57.1547619047619,4801
"107","Romance Languages",201801,"College of Arts & Sciences",143,0.49,22.3846153846154,3201
"108","Romance Languages",201802,"College of Arts & Sciences",153,0.49,22.0326797385621,3371
"109","Romance Languages",201803,"College of Arts & Sciences",137,0.49,16.6715328467153,2284
"110","Russian, East European, & Eurasian Studies",201801,"College of Arts & Sciences",17,0.49,11.1176470588235,189
"111","Russian, East European, & Eurasian Studies",201802,"College of Arts & Sciences",16,0.49,8.375,134
"112","Russian, East European, & Eurasian Studies",201803,"College of Arts & Sciences",16,0.49,10.1875,163
"113","Sociology",201801,"College of Arts & Sciences",41,0.4,16.7560975609756,687
"114","Sociology",201802,"College of Arts & Sciences",37,0.49,51.1351351351351,1892
"115","Sociology",201803,"College of Arts & Sciences",45,0.49,41.4,1863
"116","Special Education & Clinical Sciences",201801,"College of Education",82,0.49,32.7926829268293,2689
"117","Special Education & Clinical Sciences",201802,"College of Education",81,0.49,28.7654320987654,2330
"118","Special Education & Clinical Sciences",201803,"College of Education",89,0.49,27.1910112359551,2420
"119","Theatre Arts",201801,"College of Arts & Sciences",34,0.49,9.97058823529412,339
"120","Theatre Arts",201802,"College of Arts & Sciences",45,0.49,8.64444444444444,389
"121","Theatre Arts",201803,"College of Arts & Sciences",35,0.49,6.91428571428571,242
