"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201601,"College of Arts & Sciences",41,0.49,29.9024390243902,1226
"2","Anthropology",201602,"College of Arts & Sciences",44,0.49,54.3409090909091,2391
"3","Anthropology",201603,"College of Arts & Sciences",51,0.49,15.1960784313725,775
"4","Architecture",201601,"College of Design",118,0.4,33.0423728813559,3899
"5","Architecture",201602,"College of Design",105,0.3,39.4190476190476,4139
"6","Architecture",201603,"College of Design",116,0.3,29.9827586206897,3478
"7","Art",201601,"College of Design",106,0.49,18.3584905660377,1946
"8","Art",201602,"College of Design",112,0.49,21.5892857142857,2418
"9","Art",201603,"College of Design",106,0.49,22.4716981132075,2382
"10","Art History",201601,"College of Design",25,0.4,26.84,671
"11","Art History",201602,"College of Design",23,0.3,17.5217391304348,403
"12","Art History",201603,"College of Design",25,0.49,39.56,989
"13","Asian Studies",201601,"College of Arts & Sciences",2,0.4,4.5,9
"14","Asian Studies",201602,"College of Arts & Sciences",8,0.4,9.25,74
"15","Asian Studies",201603,"College of Arts & Sciences",3,0.4,9.33333333333333,28
"16","Biology",201601,"College of Arts & Sciences",122,0.45,16.7131147540984,2039
"17","Biology",201602,"College of Arts & Sciences",111,0.45,14.1981981981982,1576
"18","Biology",201603,"College of Arts & Sciences",125,0.45,14.832,1854
"19","Chemistry",201601,"College of Arts & Sciences",98,0.45,26.1020408163265,2558
"20","Chemistry",201602,"College of Arts & Sciences",82,0.46,32.9634146341463,2703
"21","Chemistry",201603,"College of Arts & Sciences",73,0.4,36.8630136986301,2691
"22","Classics",201601,"College of Arts & Sciences",17,0.4,26.3529411764706,448
"23","Classics",201602,"College of Arts & Sciences",19,0.4,24.6842105263158,469
"24","Classics",201603,"College of Arts & Sciences",15,0.4,29.2,438
"25","Comparative Literature",201601,"College of Arts & Sciences",16,0.4,59.8125,957
"26","Comparative Literature",201602,"College of Arts & Sciences",24,0.4,33.8333333333333,812
"27","Comparative Literature",201603,"College of Arts & Sciences",21,0.4,39.9523809523809,839
"28","Computer & Information Science",201601,"College of Arts & Sciences",52,0.45,17.0961538461538,889
"29","Computer & Information Science",201602,"College of Arts & Sciences",45,0.49,32.2888888888889,1453
"30","Computer & Information Science",201603,"College of Arts & Sciences",50,0.45,21.38,1069
"31","Counseling Psychology & Human Services",201601,"College of Education",111,0.49,31.5225225225225,3499
"32","Counseling Psychology & Human Services",201602,"College of Education",97,0.49,28.3298969072165,2748
"33","Counseling Psychology & Human Services",201603,"College of Education",107,0.49,33.3738317757009,3571
"34","Creative Writing",201601,"College of Arts & Sciences",17,0.49,27.9411764705882,475
"35","Creative Writing",201602,"College of Arts & Sciences",20,0.49,23.85,477
"36","Creative Writing",201603,"College of Arts & Sciences",22,0.49,23,506
"37","Dance",201601,"School of Music & Dance",64,0.49,12.1875,780
"38","Dance",201602,"School of Music & Dance",64,0.49,10.75,688
"39","Dance",201603,"School of Music & Dance",63,0.49,15.1904761904762,957
"40","E Asian Languages & Literature",201601,"College of Arts & Sciences",70,0.49,20.2,1414
"41","E Asian Languages & Literature",201602,"College of Arts & Sciences",69,0.4,17.3623188405797,1198
"42","E Asian Languages & Literature",201603,"College of Arts & Sciences",60,0.4,16.65,999
"43","Earth Sciences",201601,"College of Arts & Sciences",38,0.49,42.0263157894737,1597
"44","Earth Sciences",201602,"College of Arts & Sciences",36,0.49,30.9166666666667,1113
"45","Earth Sciences",201603,"College of Arts & Sciences",41,0.49,24,984
"46","Economics",201601,"College of Arts & Sciences",60,0.49,83.8833333333333,5033
"47","Economics",201602,"College of Arts & Sciences",55,0.49,106.490909090909,5857
"48","Economics",201603,"College of Arts & Sciences",58,0.49,92.8965517241379,5388
"49","Education Studies",201601,"College of Education",47,0.49,38.5744680851064,1813
"50","Education Studies",201602,"College of Education",56,0.49,43.1964285714286,2419
"51","Education Studies",201603,"College of Education",43,0.49,63.4186046511628,2727
"52","Educational Methodology, Policy, & Leadership",201601,"College of Education",59,0.45,11.3728813559322,671
"53","Educational Methodology, Policy, & Leadership",201602,"College of Education",58,0.45,15.1724137931034,880
