"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"66","History",201801,"College of Arts & Sciences",5451,0.404347826086957,29.5654008438819,161161
"67","History",201802,"College of Arts & Sciences",4202,0.406363636363636,32.8638743455497,138094
"68","History",201803,"College of Arts & Sciences",4416,0.405833333333333,30.8369565217391,136176
"69","Human Physiology",201801,"College of Arts & Sciences",2581,0.483103448275862,59.5168539325843,153613
"70","Human Physiology",201802,"College of Arts & Sciences",2400,0.483333333333333,62.2125,149310
"71","Human Physiology",201803,"College of Arts & Sciences",1850,0.4736,49.9594594594595,92425
"72","Interior Architecture",201801,"College of Design",38,0.3,26.2105263157895,996
"73","Interior Architecture",201803,"College of Design",38,0.3,22.5,855
"74","International Studies",201801,"College of Arts & Sciences",637,0.4,35.2527472527473,22456
"75","International Studies",201802,"College of Arts & Sciences",410,0.4,24.390243902439,10000
"76","International Studies",201803,"College of Arts & Sciences",510,0.418,22.5,11475
"77","Journalism",201801,"School of Journalism & Communication",11466,0.40734693877551,81.0299145299145,929089
"78","Journalism",201802,"School of Journalism & Communication",12985,0.412857142857143,77.3547169811321,1004451
"79","Journalism",201803,"School of Journalism & Communication",12691,0.40734693877551,73.7413127413127,935851
"80","Landscape Architecture",201801,"College of Design",616,0.2625,25.7142857142857,15840
"81","Landscape Architecture",201802,"College of Design",455,0.24,19.4835164835165,8865
"82","Landscape Architecture",201803,"College of Design",450,0.2,21.9555555555556,9880
"83","Law",201801,"School of Law",749,0.42,61.0280373831776,45710
"84","Law",201802,"School of Law",366,0.416666666666667,54.0286885245902,19774.5
"85","Law",201803,"School of Law",585,0.4,54.6837606837607,31990
"86","Linguistics",201801,"College of Arts & Sciences",3344,0.442631578947368,17.6534090909091,59033
"87","Linguistics",201802,"College of Arts & Sciences",2610,0.435,19.3862068965517,50598
"88","Linguistics",201803,"College of Arts & Sciences",2304,0.4225,21.3680555555556,49232
"89","Mathematics",201801,"College of Arts & Sciences",39845,0.49,33.5415986949429,1336465
"90","Mathematics",201802,"College of Arts & Sciences",33831,0.49,33.0093109869646,1116738
"91","Mathematics",201803,"College of Arts & Sciences",22083,0.49,34.0923787528868,752862
"92","Music",201801,"School of Music & Dance",41724,0.326134426229508,18.3567251461988,765916
"93","Music",201802,"School of Music & Dance",41100,0.322566666666667,15.9941605839416,657360
"94","Music",201803,"School of Music & Dance",40016,0.313655737704918,17.7713414634146,711138
"95","Philosophy",201801,"College of Arts & Sciences",4140,0.428666666666667,33.7898550724638,139890
