"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"37","Dance",201501,"School of Music & Dance",62,0.49,10.9193548387097,677
"38","Dance",201502,"School of Music & Dance",67,0.49,11.2238805970149,752
"39","Dance",201503,"School of Music & Dance",61,0.49,10.6065573770492,647
"40","E Asian Languages & Literature",201501,"College of Arts & Sciences",78,0.49,21.9230769230769,1710
"41","E Asian Languages & Literature",201502,"College of Arts & Sciences",80,0.4,15.45,1236
"42","E Asian Languages & Literature",201503,"College of Arts & Sciences",75,0.4,17.6933333333333,1327
"43","Economics",201501,"College of Arts & Sciences",56,0.49,66.125,3703
"44","Economics",201502,"College of Arts & Sciences",61,0.49,101.688524590164,6203
"45","Economics",201503,"College of Arts & Sciences",54,0.49,126.462962962963,6829
"46","Education Studies",201501,"College of Education",47,0.49,45.4468085106383,2136
"47","Education Studies",201502,"College of Education",48,0.49,50.1458333333333,2407
"48","Education Studies",201503,"College of Education",38,0.49,62.8947368421053,2390
"49","Educational Methodology, Policy, & Leadership",201501,"College of Education",62,0.4,12.1612903225806,754
"50","Educational Methodology, Policy, & Leadership",201502,"College of Education",59,0.4,13.864406779661,818
"51","Educational Methodology, Policy, & Leadership",201503,"College of Education",60,0.4,11.5333333333333,692
"52","English",201501,"College of Arts & Sciences",189,0.49,35.1164021164021,6637
"53","English",201502,"College of Arts & Sciences",194,0.49,36.4587628865979,7073
"54","English",201503,"College of Arts & Sciences",189,0.49,33.0476190476191,6246
"55","Environmental Studies",201501,"College of Arts & Sciences",22,0.45,39.0909090909091,860
"56","Environmental Studies",201502,"College of Arts & Sciences",24,0.45,34.5833333333333,830
"57","Environmental Studies",201503,"College of Arts & Sciences",23,0.4,30.2608695652174,696
"58","Folklore",201501,"College of Arts & Sciences",9,0.49,8.88888888888889,80
"59","Folklore",201502,"College of Arts & Sciences",10,0.49,8.1,81
"60","Folklore",201503,"College of Arts & Sciences",12,0.49,15.6666666666667,188
"61","Geography",201501,"College of Arts & Sciences",34,0.4,19.4705882352941,662
"62","Geography",201502,"College of Arts & Sciences",42,0.4,24.452380952381,1027
"63","Geography",201503,"College of Arts & Sciences",35,0.4,17.0285714285714,596
"64","Historic Preservation",201501,"College of Design",11,0.2,8.81818181818182,97
"65","Historic Preservation",201502,"College of Design",14,0.2,12.0714285714286,169
"66","Historic Preservation",201503,"College of Design",10,0.2,22.3,223
"67","History",201501,"College of Arts & Sciences",49,0.4,32.7755102040816,1606
"68","History",201502,"College of Arts & Sciences",54,0.49,38.5185185185185,2080
"69","History",201503,"College of Arts & Sciences",54,0.4,32.3333333333333,1746
"70","Human Physiology",201501,"College of Arts & Sciences",50,0.4,35.22,1761
"71","Human Physiology",201502,"College of Arts & Sciences",39,0.49,28.7692307692308,1122
"72","Human Physiology",201503,"College of Arts & Sciences",52,0.49,14.6538461538462,762
"73","Interior Architecture",201501,"College of Design",18,0.4,22.1111111111111,398
"74","International Studies",201501,"College of Arts & Sciences",27,0.49,23.8148148148148,643
"75","International Studies",201502,"College of Arts & Sciences",29,0.4,16.2413793103448,471
"76","International Studies",201503,"College of Arts & Sciences",37,0.4,15.9459459459459,590
"77","Journalism",201501,"School of Journalism & Communication",143,0.4,47.2517482517483,6757
"78","Journalism",201502,"School of Journalism & Communication",146,0.4,43.2945205479452,6321
"79","Journalism",201503,"School of Journalism & Communication",141,0.4,44.822695035461,6320
"80","Landscape Architecture",201501,"College of Design",30,0.2,26.6333333333333,799
"81","Landscape Architecture",201502,"College of Design",39,0.2,17,663
"82","Landscape Architecture",201503,"College of Design",37,0.2,15.2972972972973,566
"83","Law",201501,"School of Law",104,0.4,57.2980769230769,5959
"84","Law",201502,"School of Law",115,0.49,49.5130434782609,5694
"85","Law",201503,"School of Law",6,0.49,77.3333333333333,464
"86","Linguistics",201501,"College of Arts & Sciences",49,0.49,14.2448979591837,698
"87","Linguistics",201502,"College of Arts & Sciences",49,0.49,14.0816326530612,690
"88","Linguistics",201503,"College of Arts & Sciences",48,0.49,17.3333333333333,832
"89","Mathematics",201501,"College of Arts & Sciences",154,0.49,61.2792207792208,9437
"90","Mathematics",201502,"College of Arts & Sciences",143,0.49,57.2307692307692,8184
"91","Mathematics",201503,"College of Arts & Sciences",119,0.49,53.8571428571429,6409
"92","Music",201501,"School of Music & Dance",381,0.3,12.007874015748,4575
"93","Music",201502,"School of Music & Dance",392,0.3,13.0280612244898,5107
"94","Music",201503,"School of Music & Dance",364,0.3,14.7994505494505,5387
"95","Philosophy",201501,"College of Arts & Sciences",29,0.49,56.3793103448276,1635
"96","Philosophy",201502,"College of Arts & Sciences",38,0.49,33.8421052631579,1286
"97","Philosophy",201503,"College of Arts & Sciences",41,0.49,30.2682926829268,1241
"98","Physics",201501,"College of Arts & Sciences",66,0.23,45.1515151515151,2980
"99","Physics",201502,"College of Arts & Sciences",64,0.4,47.09375,3014
"100","Physics",201503,"College of Arts & Sciences",57,0.4,40.9122807017544,2332
"101","Political Science",201501,"College of Arts & Sciences",43,0.49,47.0232558139535,2022
"102","Political Science",201502,"College of Arts & Sciences",52,0.49,36.4423076923077,1895
"103","Political Science",201503,"College of Arts & Sciences",53,0.49,24.6603773584906,1307
"104","Psychology",201501,"College of Arts & Sciences",76,0.49,36.5657894736842,2779
"105","Psychology",201502,"College of Arts & Sciences",74,0.49,26.3108108108108,1947
"106","Psychology",201503,"College of Arts & Sciences",90,0.49,28.0222222222222,2522
"107","Romance Languages",201501,"College of Arts & Sciences",168,0.49,24.7142857142857,4152
"108","Romance Languages",201502,"College of Arts & Sciences",172,0.49,19.8779069767442,3419
"109","Romance Languages",201503,"College of Arts & Sciences",159,0.49,17.314465408805,2753
"110","Russian, East European, & Eurasian Studies",201501,"College of Arts & Sciences",21,0.49,6.14285714285714,129
"111","Russian, East European, & Eurasian Studies",201502,"College of Arts & Sciences",23,0.49,7.60869565217391,175
"112","Russian, East European, & Eurasian Studies",201503,"College of Arts & Sciences",20,0.49,7.4,148
"113","Sociology",201501,"College of Arts & Sciences",39,0.4,52.1282051282051,2033
"114","Sociology",201502,"College of Arts & Sciences",41,0.4,25.390243902439,1041
"115","Sociology",201503,"College of Arts & Sciences",39,0.4,41.4615384615385,1617
"116","Special Education & Clinical Sciences",201501,"College of Education",85,0.25,22.6588235294118,1926
"117","Special Education & Clinical Sciences",201502,"College of Education",79,0.25,21.6455696202532,1710
"118","Special Education & Clinical Sciences",201503,"College of Education",78,0.25,26.974358974359,2104
"119","Theatre Arts",201501,"College of Arts & Sciences",35,0.4,9.4,329
"120","Theatre Arts",201502,"College of Arts & Sciences",47,0.4,5.4468085106383,256
"121","Theatre Arts",201503,"College of Arts & Sciences",38,0.4,8.10526315789474,308
