"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201501,"College of Arts & Sciences",46,0.48,30.1086956521739,1385
"2","Anthropology",201502,"College of Arts & Sciences",53,0.4,45.5471698113208,2414
"3","Anthropology",201503,"College of Arts & Sciences",51,0.4,46.2941176470588,2361
"4","Architecture",201501,"College of Design",106,0.4,32.5849056603774,3454
"5","Architecture",201502,"College of Design",100,0.3,37.51,3751
"6","Architecture",201503,"College of Design",111,0.4,29.5225225225225,3277
"7","Art",201501,"College of Design",96,0.49,19.9791666666667,1918
"8","Art",201502,"College of Design",110,0.49,22.9909090909091,2529
"9","Art",201503,"College of Design",112,0.49,17.1875,1925
"10","Art History",201501,"College of Design",23,0.49,51.4347826086956,1183
"11","Art History",201502,"College of Design",20,0.49,14.6,292
"12","Art History",201503,"College of Design",20,0.49,13.85,277
"13","Asian Studies",201501,"College of Arts & Sciences",2,0.4,3.5,7
"14","Asian Studies",201502,"College of Arts & Sciences",5,0.4,8.6,43
"15","Asian Studies",201503,"College of Arts & Sciences",4,0.4,6.5,26
"16","Biology",201501,"College of Arts & Sciences",116,0.45,18.4568965517241,2141
"17","Biology",201502,"College of Arts & Sciences",109,0.45,16.6330275229358,1813
"18","Biology",201503,"College of Arts & Sciences",123,0.45,12.8617886178862,1582
"19","Chemistry",201501,"College of Arts & Sciences",99,0.46,29.8282828282828,2953
"20","Chemistry",201502,"College of Arts & Sciences",89,0.46,29.4606741573034,2622
"21","Chemistry",201503,"College of Arts & Sciences",77,0.46,36.0649350649351,2777
"22","Classics",201501,"College of Arts & Sciences",15,0.4,44.6,669
"23","Classics",201502,"College of Arts & Sciences",15,0.4,27.3333333333333,410
"24","Classics",201503,"College of Arts & Sciences",14,0.4,16.2857142857143,228
"25","Comparative Literature",201501,"College of Arts & Sciences",21,0.4,43.7619047619048,919
"26","Comparative Literature",201502,"College of Arts & Sciences",25,0.4,31.52,788
"27","Comparative Literature",201503,"College of Arts & Sciences",25,0.4,41.28,1032
"28","Computer & Information Science",201501,"College of Arts & Sciences",45,0.45,26.7555555555556,1204
"29","Computer & Information Science",201502,"College of Arts & Sciences",55,0.45,17.2,946
"30","Computer & Information Science",201503,"College of Arts & Sciences",51,0.45,26.2549019607843,1339
"31","Counseling Psychology & Human Services",201501,"College of Education",100,0.4,37.03,3703
"32","Counseling Psychology & Human Services",201502,"College of Education",89,0.4,29.8539325842697,2657
"33","Counseling Psychology & Human Services",201503,"College of Education",92,0.4,33.5108695652174,3083
"34","Creative Writing",201501,"College of Arts & Sciences",21,0.49,22.7619047619048,478
"35","Creative Writing",201502,"College of Arts & Sciences",20,0.49,21.25,425
"36","Creative Writing",201503,"College of Arts & Sciences",22,0.49,21.1363636363636,465
