"","course_dept","full_term","college","teach_ge_n","teach_ge_fte","mean_credit","total_credit"
"1","Anthropology",201601,"College of Arts & Sciences",5404,0.4575,44.6839378238342,241472
"2","Anthropology",201602,"College of Arts & Sciences",6400,0.4409375,46.51,297664
"3","Anthropology",201603,"College of Arts & Sciences",6752,0.449375,37.8625592417062,255648
"4","Architecture",201601,"College of Design",2771,0.387647058823529,37.601226993865,104193
"5","Architecture",201602,"College of Design",2235,0.409333333333333,41.3624161073826,92445
"6","Architecture",201603,"College of Design",1620,0.396,33.6172839506173,54460
"7","Art",201601,"College of Design",4272,0.49,21.1385767790262,90304
"8","Art",201602,"College of Design",5520,0.471,23.5217391304348,129840
"9","Art",201603,"College of Design",4920,0.471,24.1829268292683,118980
"10","Art History",201601,"College of Design",497,0.4,36.2253521126761,18004
"11","Art History",201602,"College of Design",730,0.37,36.6438356164384,26750
"12","Art History",201603,"College of Design",774,0.41,41.2209302325581,31905
"13","Asian Studies",201601,"College of Arts & Sciences",15,0.4,4.66666666666667,70
"14","Asian Studies",201602,"College of Arts & Sciences",100,0.4,10.3,1030
"15","Asian Studies",201603,"College of Arts & Sciences",45,0.4,10.2222222222222,460
"16","Biology",201601,"College of Arts & Sciences",7788,0.45,35.2923728813559,274857
"17","Biology",201602,"College of Arts & Sciences",6351,0.441034482758621,37.9680365296804,241135
"18","Biology",201603,"College of Arts & Sciences",7936,0.4484375,30.1370967741935,239168
"19","Chemistry",201601,"College of Arts & Sciences",8424,0.454358974358974,54.6342592592593,460239
"20","Chemistry",201602,"College of Arts & Sciences",5379,0.461615151515152,56.2638036809816,302643
"21","Chemistry",201603,"College of Arts & Sciences",4760,0.458823529411765,51.9,247044
"22","Classics",201601,"College of Arts & Sciences",385,0.418,25.5714285714286,9845
"23","Classics",201602,"College of Arts & Sciences",360,0.418,19.5277777777778,7030
"24","Classics",201603,"College of Arts & Sciences",280,0.418,20.9107142857143,5855
"25","Comparative Literature",201601,"College of Arts & Sciences",1407,0.455714285714286,29.7761194029851,41895
"26","Comparative Literature",201602,"College of Arts & Sciences",2376,0.457272727272727,23.5648148148148,55990
"27","Comparative Literature",201603,"College of Arts & Sciences",1680,0.463,24.7380952380952,41560
"28","Computer & Information Science",201601,"College of Arts & Sciences",3900,0.45,41.9066666666667,163436
"29","Computer & Information Science",201602,"College of Arts & Sciences",3564,0.451481481481481,45.3863636363636,161757
"30","Computer & Information Science",201603,"College of Arts & Sciences",3335,0.45,41.751724137931,139242
"31","Counseling Psychology & Human Services",201601,"College of Education",5313,0.462608695652174,29.1774891774892,155020
"32","Counseling Psychology & Human Services",201602,"College of Education",4128,0.462083333333333,34.5232558139535,142512
"33","Counseling Psychology & Human Services",201603,"College of Education",4920,0.462083333333333,28.6487804878049,140952
"34","Creative Writing",201601,"College of Arts & Sciences",1102,0.49,18.6724137931034,20577
"35","Creative Writing",201602,"College of Arts & Sciences",1577,0.49,14.2289156626506,22439
"36","Creative Writing",201603,"College of Arts & Sciences",1539,0.49,15.8148148148148,24339
"37","Dance",201601,"School of Music & Dance",850,0.454,8.42941176470588,7165
"38","Dance",201602,"School of Music & Dance",880,0.454,7.78409090909091,6850
"39","Dance",201603,"School of Music & Dance",845,0.454,10.0059171597633,8455
"40","E Asian Languages & Literature",201601,"College of Arts & Sciences",6405,0.434285714285714,18.2131147540984,116655
"41","E Asian Languages & Literature",201602,"College of Arts & Sciences",5453,0.428421052631579,16.9825783972125,92606
"42","E Asian Languages & Literature",201603,"College of Arts & Sciences",5160,0.418,16.7015503875969,86180
"43","Earth Sciences",201601,"College of Arts & Sciences",1750,0.49,41.424,72492
"44","Earth Sciences",201602,"College of Arts & Sciences",1071,0.49,39.7563025210084,42579
"45","Earth Sciences",201603,"College of Arts & Sciences",1548,0.49,35.7751937984496,55380
"46","Economics",201601,"College of Arts & Sciences",11904,0.474479166666667,62.4274193548387,743136
"47","Economics",201602,"College of Arts & Sciences",11184,0.482083333333333,68.7982832618026,769440
"48","Economics",201603,"College of Arts & Sciences",11454,0.484130434782609,63.4538152610442,726800
"49","Education Studies",201601,"College of Education",950,0.454,42.3578947368421,40240
"50","Education Studies",201602,"College of Education",1221,0.457272727272727,43.1711711711712,52712
"51","Education Studies",201603,"College of Education",990,0.457272727272727,47.5555555555556,47080
"52","Educational Methodology, Policy, & Leadership",201601,"College of Education",194,0.45,10.5051546391753,2038
"53","Educational Methodology, Policy, & Leadership",201602,"College of Education",188,0.45,12.531914893617,2356
"54","Educational Methodology, Policy, & Leadership",201603,"College of Education",194,0.45,11.2989690721649,2192
"55","English",201601,"College of Arts & Sciences",28939,0.483720930232558,23.2778603268945,673638
"56","English",201602,"College of Arts & Sciences",27864,0.483720930232558,24.0833333333333,671058
"57","English",201603,"College of Arts & Sciences",26961,0.481627906976744,22.8133971291866,615072
"58","Environmental Studies",201601,"College of Arts & Sciences",790,0.438,43.8987341772152,34680
"59","Environmental Studies",201602,"College of Arts & Sciences",747,0.431111111111111,32.4096385542169,24210
"60","Environmental Studies",201603,"College of Arts & Sciences",630,0.421111111111111,34.0285714285714,21438
"61","Folklore",201601,"College of Arts & Sciences",320,0.48875,18.525,5928
"62","Folklore",201602,"College of Arts & Sciences",164,0.49,15,2460
"63","Folklore",201603,"College of Arts & Sciences",155,0.49,12.9354838709677,2005
"64","Geography",201601,"College of Arts & Sciences",2000,0.405625,29.88,59760
"65","Geography",201602,"College of Arts & Sciences",2415,0.418,22.4658385093168,54255
"66","Geography",201603,"College of Arts & Sciences",1965,0.418,29.7251908396947,58410
"67","Historic Preservation",201601,"College of Design",21,0.4,11.5714285714286,243
"68","Historic Preservation",201602,"College of Design",45,0.296666666666667,14,630
"69","Historic Preservation",201603,"College of Design",56,0.3725,15.5,868
"70","History",201601,"College of Arts & Sciences",5642,0.405384615384615,28.4377880184332,160446
"71","History",201602,"College of Arts & Sciences",6264,0.405185185185185,34.9181034482759,218727
"72","History",201603,"College of Arts & Sciences",5174,0.401923076923077,38.0854271356784,197054
"73","Human Physiology",201601,"College of Arts & Sciences",2784,0.4809375,72.0574712643678,200608
"74","Human Physiology",201602,"College of Arts & Sciences",2464,0.48375,65.9090909090909,162400
"75","Human Physiology",201603,"College of Arts & Sciences",2640,0.474242424242424,58.2125,153681
"76","Interior Architecture",201601,"College of Design",99,0.4,30.9090909090909,3060
"77","Interior Architecture",201602,"College of Design",24,0.4,22.3333333333333,536
"78","Interior Architecture",201603,"College of Design",34,0.4,22.2647058823529,757
